REALCURRENTTIME;CORE_TEMP;CORE_IODINE_CUMULATIVE;CORE_XENON_CUMULATIVE;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
261000;335.144;5.57709;0;72.5875;72.5875
262001;335.4812;5.57709;0;72.5875;72.5875
263001;335.8084;5.57709;0;72.5875;72.5875
264000;336.1456;5.57709;0;72.5875;72.5875
265001;336.4729;5.57709;0;72.5875;72.7849
266001;336.7803;5.57709;0;72.7849;72.7849
267000;337.0878;5.57709;0;72.7849;72.7849
268001;337.3954;5.57709;0;72.7849;72.7849
269000;337.7029;5.57709;0;72.7849;72.7849
270000;338.0106;5.763199;0;72.7849;72.7849
271001;338.3082;5.763199;0;72.7849;72.7849
272000;338.6059;5.763199;0;72.7849;72.7849
273000;338.9037;5.763199;0;72.7849;72.7849
274001;339.2016;5.763199;0;72.7849;72.7849
275000;339.4995;5.763199;0;72.89015;72.9533
276001;339.7775;5.763199;0;72.9533;72.9533
277001;340.0555;5.763199;0;72.9533;72.9533
278000;340.3336;5.763199;0;72.9533;72.9533
279000;340.6117;5.763199;0;72.9533;72.9533
280001;340.8898;5.947452;0;72.9533;72.9533
281000;341.1582;5.947452;0;72.9533;72.9533
282000;341.4265;5.947452;0;72.9533;72.9533
283000;341.6949;5.947452;0;72.9533;72.9533
284001;341.9634;5.947452;0;72.9533;72.9533
285000;342.2319;5.947452;0;72.9533;73.1104
286000;342.4805;5.947452;0;73.1104;73.1104
287000;342.739;5.947452;0;73.1104;73.1104
288000;342.9877;5.947452;0;73.1104;73.1104
289000;343.2364;5.947452;0;73.1104;73.1104
290001;343.4753;6.130033;0;73.1104;73.1104
291000;343.7242;6.130033;0;73.1104;73.1104
292000;343.9632;6.130033;0;73.1104;73.1104
293001;344.2122;6.130033;0;73.1104;73.1104
294000;344.4513;6.130033;0;73.1104;73.1104
295000;344.6904;6.130033;0;73.1104;73.2502
296000;344.9196;6.130033;0;73.2502;73.2502
297001;345.1488;6.130033;0;73.2502;73.2502
298001;345.3681;6.130033;0;73.2502;73.2502
299001;345.5974;6.130033;0;73.2502;73.2502
300000;345.8169;6.311077;0;73.2502;73.2502
301000;346.0365;6.311077;0;73.2502;73.2502
302000;346.2561;6.311077;0;73.2502;73.2502
303000;346.4758;6.311077;0;73.2502;73.2502
304001;346.6856;6.311077;0;73.2502;73.2502
305000;346.9054;6.311077;0;73.2502;73.378
306000;346.9054;6.311077;0;73.378;73.378
307000;347.2154;6.311077;0;73.378;73.378
308000;347.2056;6.311077;0;73.378;73.378
309000;347.4858;6.311077;0;73.378;73.378
310000;347.4858;6.490718;0;73.378;73.378
311001;347.7562;6.490718;0;73.378;73.378
312001;347.7562;6.490718;0;73.378;73.378
313000;348.0267;6.490718;0;73.378;73.378
314000;348.0267;6.490718;0;73.378;73.378
315001;348.2875;6.490718;0;73.378;72.9117
316000;348.2875;6.490718;0;72.9117;72.9117
317000;348.6083;6.490718;0;72.9117;72.9117
318000;348.6083;6.490718;0;72.9117;72.9117
319000;348.9193;6.490718;0;72.9117;72.9117
320000;348.9193;6.671669;0;72.9117;72.9117
321000;349.2203;6.671669;0;72.9117;72.9117
322000;349.2115;6.671669;0;72.9117;72.9117
323001;349.5227;6.671669;0;72.9117;72.9117
324000;349.514;6.671669;0;72.9117;72.9117
325000;349.8253;6.671669;0;72.9117;72.7177
326001;349.8253;6.671669;0;72.7177;72.7177
327000;350.1467;6.671669;0;72.7177;72.7177
328000;350.1467;6.671669;0;72.7177;72.7177
329000;350.4682;6.671669;0;72.7177;72.7177
330000;350.4682;6.855366;0;72.7177;72.7177
331000;350.7799;6.855366;0;72.7177;72.7177
332000;350.7799;6.855366;0;72.7177;72.7177
333001;351.0917;6.855366;0;72.7177;72.7177
334000;351.0917;6.855366;0;72.7177;72.7177
335000;351.4037;6.855366;0;72.7177;74.2045
336000;351.4037;6.855366;0;74.2045;74.2045
337000;351.4037;6.855366;0;74.2045;74.2045
338000;351.4037;6.855366;0;74.2045;74.2045
339000;351.4037;6.855366;0;74.2045;74.2045
340000;351.4037;7.033081;0;74.2045;74.2045
341000;351.3966;7.033081;0;74.2045;74.2045
342000;351.3897;7.033081;0;74.2045;74.2045
343000;351.3828;7.033081;0;74.2045;74.2045
344000;351.3828;7.033081;0;74.2045;74.2045
345000;351.3828;7.033081;0;74.2852;74.3121
346000;351.3828;7.033081;0;74.2852;74.3121
347000;351.3828;7.033081;0;74.3121;74.3121
348000;351.3828;7.033081;0;74.3121;74.3121
349000;351.3828;7.033081;0;74.3121;74.3121
350000;351.3828;7.203488;0;74.3121;74.3121
351000;351.3828;7.203488;0;74.3121;74.3121
352000;351.3828;7.203488;0;74.3121;74.3121
353000;351.3828;7.203488;0;74.3121;74.3121
354001;351.3828;7.203488;0;74.3121;74.3121
355000;351.3828;7.203488;0;74.3121;74.4383
356000;351.3828;7.203488;0;74.4383;74.4383
357000;351.3828;7.203488;0;74.4383;74.4383
358000;351.3828;7.203488;0;74.4383;74.4383
359000;351.3772;7.203488;0;74.4383;74.4383
360000;351.3716;7.372668;0;74.4383;74.4383
361000;351.3661;7.372668;0;74.4383;74.4383
362000;351.3661;7.372668;0;74.4383;74.4383
363000;351.3661;7.372668;0;74.4383;74.4383
364001;351.3661;7.372668;0;74.4383;74.4383
365000;351.3661;7.372668;0;74.4383;74.5492
366001;351.3661;7.372668;0;74.5492;74.5492
367000;351.3661;7.372668;0;74.5492;74.5492
368000;351.3661;7.372668;0;74.5492;74.5492
369000;351.3661;7.372668;0;74.5492;74.5492
370001;351.3661;7.540609;0;74.5492;74.5492
371000;351.3661;7.540609;0;74.5492;74.5492
372001;351.3661;7.540609;0;74.5492;74.5492
373000;351.3661;7.540609;0;74.5492;74.5492
374000;351.3661;7.540609;0;74.5492;74.5492
375000;351.3661;7.540609;0;74.5492;74.6751
376000;351.3661;7.540609;0;74.6751;74.6751
377000;351.3661;7.540609;0;74.6751;74.6751
378001;351.3661;7.540609;0;74.6751;74.6751
379000;351.3619;7.540609;0;74.6751;74.6751
380000;351.3578;7.707317;0;74.6751;74.6751
381000;351.3538;7.707317;0;74.6751;74.6751
382000;351.3498;7.707317;0;74.6751;74.6751
383000;351.3459;7.707317;0;74.6751;74.6751
384000;351.3459;7.707317;0;74.6751;74.6751
385000;351.3459;7.707317;0;74.6751;74.7824
386000;351.3459;7.707317;0;74.7824;74.7824
387000;351.3459;7.707317;0;74.7824;74.7824
388000;351.3459;7.707317;0;74.7824;74.7824
389000;351.3459;7.707317;0;74.7824;74.7824
390000;351.3459;7.872809;0;74.7824;74.7824
391000;351.3459;7.872809;0;74.7824;74.7824
392000;351.3459;7.872809;0;74.7824;74.7824
393000;351.3459;7.872809;0;74.7824;74.7824
394000;351.3459;7.872809;0;74.7824;74.7824
395000;351.3459;7.872809;0;74.7824;74.9077
396000;351.3428;7.872809;0;74.9077;74.9077
397000;351.3398;7.872809;0;74.9077;74.9077
398001;351.3369;7.872809;0;74.9077;74.9077
399001;351.334;7.872809;0;74.9077;74.9077
400001;351.334;8.037093;0;74.9077;74.9077
401001;351.334;8.037093;0;74.9077;74.9077
402001;351.334;8.037093;0;74.9077;74.9077
403000;351.334;8.037093;0;74.9077;74.9077
404000;351.334;8.037093;0;74.9077;74.9077
405000;351.334;8.037093;0;74.9077;75.0223
406001;351.334;8.037093;0;75.0223;75.0223
407000;351.334;8.037093;0;75.0223;75.0223
408000;351.334;8.037093;0;75.0223;75.0223
409000;351.334;8.037093;0;75.0223;75.0223
410000;351.334;8.200138;0;75.0223;75.0223
411000;351.334;8.200138;0;75.0223;75.0223
412000;351.332;8.200138;0;75.0223;75.0223
413000;351.3301;8.200138;0;75.0223;75.0223
