REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
122700;167.3738;75;75
122999;167.3738;75;75
123300;167.3738;75;75
123600;168.3876;75;75
123900;168.3876;75;75
124200;168.3876;75;75
124500;169.4015;75;75
124800;169.4015;75;75
125100;169.4015;75;75
125400;169.4015;75;75
125700;170.4054;75;75
126000;170.4054;75;75
126300;170.4054;75;75
126600;171.4093;75;75
126900;171.4093;75;75
127200;171.4093;75;75
127500;172.4032;75;75
127800;172.4032;75;75
128099;172.4032;75;75
128399;172.4032;75;75
128700;173.3972;75;75
129000;173.3972;75;75
129299;173.3972;75;75
129600;174.3812;75;75
129900;174.3812;75;75
130200;174.3812;75;75
130500;175.3652;75;75
130800;175.3652;75;75
131100;175.3652;75;75
131400;175.3652;75;75
131700;176.3393;75;75
132000;176.3393;75;75
132300;176.3393;75;75
132600;177.3034;75;75
132900;177.3034;75;75
133200;177.3034;75;75
133500;178.2675;75;75
133800;178.2675;75;75
134100;178.2675;75;75
134400;178.2675;75;75
134700;179.2317;75;75
135000;179.2317;75;75
135300;179.2317;75;75
135600;180.1859;75;75
135900;180.1859;75;75
136200;180.1859;75;75
136500;181.1401;75;75
136800;181.1401;75;75
137100;181.1401;75;75
137400;181.1401;75;75
137700;182.0844;75;75
138000;182.0844;75;75
138300;182.0844;75;75
138600;183.0186;75;75
138900;183.0186;75;75
139200;183.0186;75;75
139500;183.9629;75;75
139800;183.9629;75;75
140100;183.9629;75;75
140401;183.9629;75;75
140699;184.8873;75;75
141000;184.8873;75;75
141300;184.8873;75;75
141600;185.8216;75;75
141900;185.8216;75;75
142200;185.8216;75;75
142500;186.7416;75;75
142800;186.736;75;75
143100;186.736;75;75
143400;186.736;75;75
143700;187.6505;75;75
144000;187.6505;75;75
144300;187.6505;75;75
144600;188.5649;75;75
144900;188.5649;75;75
145200;188.5649;75;75
145500;188.5649;75;75
145800;189.4694;75;75
146100;189.4694;75;75
146400;189.4694;75;75
146700;190.3739;75;75
147000;190.3739;75;75
147300;190.3739;75;75
147600;191.2785;75;75
147900;191.2785;75;75
148200;191.2785;75;75
148500;191.2785;75;75
148800;192.173;75;75
149100;192.173;75;75
149400;192.173;75;75
149700;193.0576;75;75
150000;193.0576;75;75
150300;193.0576;75;75
150600;193.9422;75;75
150900;193.9422;75;75
151200;193.9422;75;75
151500;193.9422;75;75
151801;194.8269;75;75
152100;194.8269;75;75
152400;194.8269;75;75
152700;195.7015;75;75
153001;195.7015;75;75
153300;195.7015;75;75
153600;196.5662;75;75
153900;196.5662;75;75
154200;196.5662;75;75
154500;196.5662;75;75
154800;197.431;75;75
155100;197.431;75;75
155400;197.431;75;75
155701;198.2957;75;75
156000;198.2957;75;75
156300;198.2957;75;75
156600;199.1505;75;75
156900;199.1505;75;75
157200;199.1505;75;75
157500;199.1505;75;75
157800;200.0053;75;75
158100;200.0053;75;75
158400;200.0053;75;75
158700;200.8502;75;75
159000;200.8502;75;75
159300;200.8502;75;75
159600;201.695;75;75
159900;201.695;75;75
160200;201.695;75;75
160500;201.695;75;75
160800;202.5399;75;75
161100;202.5399;75;75
161400;202.5399;75;75
161700;203.3748;75;75
162000;203.3748;75;75
162300;203.3748;75;75
162600;204.1998;75;75
162900;204.1998;75;75
163200;204.1998;75;75
163500;204.1998;75;75
163800;205.0248;75;75
